title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Stoos - Brunnerboden'],['medium'],['Snowshoe'],4.48km,01:50h,191hm,"1,192 - 1,383m",rating-1,rating-3,74619
['Panorama-Route: Sempach-Buttisholz-Sempach'],['difficult'],['Cycling'],38.38km,02:52h,475hm,504 - 729m,rating-4,rating-5,176931
['WanderWunder Schwyz: Rund um den Glattalpsee'],['medium'],['Hiking'],13.34km,03:50h,780hm,"1,146 - 1,892m",rating-3,rating-4,368325
['Ächerlipass E-Biketour'],['difficult'],['Cycling'],29.98km,03:10h,"1,032hm","445 - 1,457m",rating-3,rating-5,177003
['Hirsegg - Schrattenfluh - Rossweid - Sörenberg'],['difficult'],['Hiking'],17.96km,06:40h,"1,195hm","1,070 - 2,058m",rating-4,rating-5,163881
['Höhenweg Chilcherbergen-Golzern'],['medium'],['Hiking'],5.2km,02:20h,416hm,"1,158 - 1,521m",rating-3,rating-2,77221
"['Sattelpass, Seewenegg']",['difficult'],['Mountainbike'],39.09km,04:30h,"1,742hm","479 - 1,524m",rating-4,rating-5,131002
"['Cable car to Klewenalp, Walk to Stockhuette']",['easy'],['Hiking'],4.56km,00:50h,118hm,"1,273 - 1,670m",rating-1,rating-1,159648
['Stoos - Chruteren-Bawangli-Seilstock'],['medium'],['Winter hiking'],6.74km,01:55h,187hm,"1,274 - 1,360m",rating-3,rating-3,383216
['Jochpass-Trail'],['easy'],['Mountainbike'],3.84km,00:17h,-,"1,771 - 2,206m",rating-2,rating-1,177083
['Römerrebberg und Flösser'],['medium'],['Cycling'],36.75km,03:45h,520hm,327 - 550m,rating-2,rating-3,120926
['Panoramaweg Sihlsee'],['easy'],['Thematic route'],9.39km,02:34h,146hm,877 - 966m,rating-1,rating-2,252481
['Emmenuferweg'],['medium'],['Hiking'],58.47km,15:07h,113hm,"436 - 1,302m",rating-,rating-3,157653
['Schlittelbahn Bogenfang'],['easy'],['Sledge'],1.79km,00:06h,6hm,"1,049 - 1,318m",rating-2,rating-1,280155
['Winterlicher KulinarikTrail Marbach'],['easy'],['Winter hiking'],1.7km,00:45h,22hm,864 - 886m,rating-1,rating-1,928073
['Reuss Kanu'],['medium'],['Kayak / Canoe'],25.14km,05:04h,1hm,333 - 367m,rating-3,rating-2,299957
['Bahnentour Mythenregion – Hoch-Ybrig'],['medium'],['Mountainbike'],33.58km,03:30h,"2,019hm","598 - 1,822m",rating-3,rating-3,173264
['Rundweg Freyenweiher - Krebsbach'],['medium'],['Hiking'],8.21km,02:30h,189hm,499 - 655m,rating-,rating-3,181337
['Panorama Wanderung Melchsee-Frutt - Abgschütz - Älggialp - Stöckalp'],[],['Hiking'],16.4km,06:00h,"1,383hm","1,076 - 2,226m",rating-3,rating-4,7595
['Skulpturenweg'],['easy'],['Thematic route'],2.33km,00:45h,112hm,628 - 748m,rating-,rating-2,120893
"['Gipfelwanderung zum Stuckli Chriiz, Sachseln']",[],['Hiking'],3.63km,01:35h,475hm,"1,316 - 1,791m",rating-,rating-0,663236
['Alpenkranz 40. Etappe: Spannorthütte -Surenenpass - Brüsti'],['medium'],['long-distance walking trail'],14.27km,05:45h,950hm,"1,386 - 2,293m",rating-3,rating-4,245408
['Rund um Stans'],['easy'],['Hiking'],7.28km,02:00h,154hm,444 - 596m,rating-1,rating-1,563545
['Römerstadt & Aussichtsturm'],['medium'],['Hiking'],9.78km,02:45h,420hm,266 - 606m,rating-1,rating-3,132994
['4-Seen Wanderung'],['difficult'],['Hiking'],24.82km,08:32h,"1,377hm","997 - 2,209m",rating-2,rating-5,202600
['Obwaldner Höhenweg: Etappe 1'],['difficult'],['Hiking'],21.11km,06:30h,639hm,"1,181 - 2,070m",rating-3,rating-5,257152
['Sonnentauweg Sörenberg'],['easy'],['Thematic route'],1.36km,00:25h,50hm,"1,470 - 1,509m",rating-1,rating-1,601914
['Titlis Trail Fürenalp'],['easy'],['Snowshoe'],2.3km,00:55h,104hm,"1,825 - 1,913m",rating-,rating-2,288089
['Sternenegg-Bike-Tour'],['difficult'],['Mountainbike'],15.31km,02:25h,543hm,"1,068 - 1,517m",rating-3,rating-3,265543
['Touring-Route 3: Historische Hauptorte'],[],['Hiking'],244.82km,03:28h,"3,648hm","415 - 1,947m",rating-,rating-0,257174
"['5-Hütten-Panoramaweg Uri, Zwitserland']",['medium'],['Hiking'],42.02km,20:25h,"3,404hm","1,099 - 2,611m",rating-4,rating-4,350244
['Spaziergang Kerns - Flüeli-Ranft'],['easy'],['Hiking'],3.68km,01:08h,213hm,561 - 728m,rating-1,rating-2,554929
['Kultur- und Rebsortenlehrpfad Oberflachs'],['easy'],['Thematic route'],2.87km,01:00h,116hm,398 - 512m,rating-,rating-2,120869
"['Motivationspfad ""a de Wegere""']",['easy'],['Thematic route'],3.1km,00:46h,18hm,489 - 506m,rating-,rating-1,541489
['Ein Familienausflug wie aus dem Bilderbuch'],['easy'],['Cycling'],9.49km,00:40h,32hm,690 - 722m,rating-1,rating-1,178096
['Kulinarische Wanderung am Sarnersee'],['easy'],['Hiking'],9.98km,02:30h,23hm,470 - 492m,rating-1,rating-1,554976
['Escholzmatt - Turner'],['easy'],['Hiking'],10.4km,03:14h,414hm,"853 - 1,228m",rating-,rating-2,208229
"['Walk to Stans, train and cog railway to Pilatus']",['medium'],['Hiking'],13.04km,04:30h,467hm,437 - 783m,rating-2,rating-3,159643
['Köhlerweg Romoos'],['medium'],['Thematic route'],10.96km,04:00h,799hm,"792 - 1,157m",rating-,rating-3,219488
['Felsenweg Bürgenstock'],['easy'],['Hiking'],4.38km,01:43h,275hm,"873 - 1,115m",rating-1,rating-2,255949
['Rigi Lehnenweg'],['difficult'],['Hiking'],22.33km,07:30h,"1,022hm",416 - 782m,rating-3,rating-5,72169
['Schimbrig-First-Tour'],['medium'],['Mountainbike'],31.43km,03:30h,"1,363hm","695 - 1,431m",rating-3,rating-4,132220
['Rigi Goethe Weg'],['medium'],['Hiking'],5.9km,03:00h,699hm,"1,166 - 1,797m",rating-3,rating-4,300812
['Luthertaler Sagenweg'],['medium'],['Thematic route'],6.36km,01:50h,148hm,675 - 822m,rating-,rating-3,266685
['Geo-Wanderweg Küttigen'],['easy'],['Thematic route'],2.15km,00:45h,175hm,445 - 621m,rating-1,rating-1,311552
['Schwyzer Höhenweg 2. Etappe Rigi – Goldau'],['medium'],['Hiking'],9.05km,03:10h,1hm,"509 - 1,597m",rating-2,rating-4,67881
['Über den Schlierengrat'],['medium'],['Snowshoe'],9.96km,03:47h,420hm,"1,397 - 1,718m",rating-3,rating-3,452353
['Von Luzern über Rio de Janeiro nach Meggen'],['easy'],['Hiking'],11.95km,03:21h,242hm,434 - 543m,rating-1,rating-2,211591
['Historische Spazierwanderung Hohle Gasse'],['easy'],['Thematic route'],4.21km,01:15h,133hm,416 - 513m,rating-1,rating-2,72817
['Rigi - Klösterliweg'],['easy'],['Winter hiking'],2.09km,00:45h,21hm,"1,316 - 1,454m",rating-2,rating-2,95934
['Schwander Chilbi'],['easy'],['Trailrunning'],7.23km,01:25h,304hm,"981 - 1,250m",rating-1,rating-1,761104
['Rundtour Willisau - Soppisee - Alberswil'],['easy'],['Cycling'],29.85km,02:00h,187hm,517 - 622m,rating-2,rating-2,931679
['Aargauer Altstädte'],['difficult'],['Cycling'],62.89km,03:30h,252hm,330 - 446m,rating-2,rating-5,120855
['Gletscherspur Seebodenalp'],['easy'],['Thematic route'],4.92km,01:30h,102hm,"1,019 - 1,121m",rating-,rating-2,332341
['Spielplatz-Safari rund um Altdorf'],['easy'],['Thematic route'],3.78km,01:11h,146hm,445 - 584m,rating-1,rating-1,87340
['Klingnauer Stausee'],['easy'],['Cycling'],24.6km,01:40h,82hm,313 - 394m,rating-2,rating-2,117069
['Bergbeizli-Weg mit Chäs(S)pass'],['easy'],['Thematic route'],4.34km,01:22h,139hm,"1,284 - 1,391m",rating-2,rating-1,158658
['Alpenkranz 28. Etappe: Chelenalphütte - Hinter Mur - Bergseehütte'],['difficult'],['long-distance walking trail'],5.2km,03:50h,367hm,"2,342 - 2,611m",rating-5,rating-3,232762
['Seebodenalp Panoramaweg'],['easy'],['Hiking'],5.3km,01:13h,212hm,"1,018 - 1,125m",rating-1,rating-2,784269
['Vier - Quellen - Weg: Etappe 2 Über den Giübin zum Gotthardpass'],['medium'],['Hiking'],12.47km,05:15h,832hm,"2,028 - 2,776m",rating-4,rating-4,262231
['Küssnacht SZ – Seebodenalp – Küssnacht SZ'],['medium'],['Mountainbike'],30.7km,03:45h,788hm,"415 - 1,082m",rating-2,rating-3,1002854
"['2-Tagestour T5, Über Grat-Weg zur Capanna Cadlimo']",['difficult'],['High tour'],21.19km,07:30h,961hm,"1,803 - 2,872m",rating-,rating-5,216648
['Naturkundlicher Höhenweg Schächental'],['easy'],['Hiking'],8.57km,03:01h,281hm,"1,610 - 2,060m",rating-2,rating-2,65426
['Willisau-Hergiswil-Menzberg-Willisau'],['medium'],['Cycling'],39.96km,03:50h,"1,034hm","558 - 1,104m",rating-3,rating-3,931665
['Lägerngrat Wanderung'],['medium'],['Hiking'],12.01km,03:51h,539hm,353 - 860m,rating-,rating-4,761068
['Aaschlucht'],['medium'],['Hiking'],18.7km,02:30h,378hm,"570 - 1,007m",rating-3,rating-3,8940
['Etappe: Morschach - Brunnen | Schwyzer Tal- & Gipfeltour'],['easy'],['Hiking'],2.86km,01:00h,62hm,435 - 707m,rating-1,rating-2,84518
['Schneeschuhtrail Hirsegg - Chlus'],['difficult'],['Snowshoe'],10.65km,05:00h,717hm,"1,070 - 1,787m",rating-2,rating-5,163004
['Tell-Trail Etappe 4: Luzern-Pilatus-Stans'],['difficult'],['Hiking'],27.41km,05:00h,"1,650hm","432 - 2,099m",rating-4,rating-5,972232
['Moorpfad Mettilimoos'],['easy'],['Thematic route'],14.07km,04:30h,602hm,"684 - 1,285m",rating-,rating-2,219487
['Bad Zurzach – Hörndli – Schachen – Rekingen – Bad Zurzach'],['medium'],['Cycling'],22.1km,01:55h,461hm,335 - 566m,rating-3,rating-3,1040628
['Rundweg Lungerersee'],['easy'],['Hiking'],9.77km,02:35h,76hm,689 - 757m,rating-1,rating-2,319576
['Rund um Sulz'],['medium'],['Hiking'],24.24km,06:55h,695hm,306 - 686m,rating-1,rating-3,311539
['4-Seen Biketour «Express»'],['medium'],['Mountainbike'],43.01km,05:00h,"1,904hm","997 - 2,220m",rating-3,rating-0,222292
['Rigi Burggeist - Vitznaueralpen Rundweg'],['medium'],['Hiking'],5.29km,01:43h,226hm,"1,372 - 1,598m",rating-,rating-3,532500
['Etappe: Rigi Scheidegg - Rigi Kaltbad | Schwyzer Tal- & Gipfeltour'],['easy'],['Hiking'],6.72km,02:00h,102hm,"1,431 - 1,647m",rating-1,rating-2,114190
['Aargauer Altstädte'],['difficult'],['Cycling'],62.89km,03:30h,252hm,330 - 446m,rating-2,rating-5,120855
['Etappe 08 Via Glaralpina - Gämsfairen - von der Wanderratte zum Gletscherfloh'],['difficult'],['Hiking'],10km,05:30h,"1,510hm","1,355 - 2,847m",rating-5,rating-5,336242
['Schneeschuhtour Niederbauen - Hundschopf'],[],['Snowshoe'],5.5km,02:05h,195hm,"1,502 - 1,663m",rating-,rating-0,1002658
['Etappe: Rigi Kaltbad - Staffel - Klösterli | Schwyzer Tal- & Gipfeltour'],['medium'],['Hiking'],8.01km,02:45h,371hm,"1,311 - 1,761m",rating-1,rating-3,81698
['Winterwanderung zur Talstation Luftseilbahn Brienzer Rothorn'],['easy'],['Winter hiking'],3.19km,00:56h,89hm,"1,154 - 1,243m",rating-1,rating-1,262286
['Mythenregion – Rundwanderung Ibergeregg – Grossboden – Müsliberg – Zwäcken – Ibergeregg'],['medium'],['Winter hiking'],4.59km,01:30h,230hm,"1,239 - 1,469m",rating-2,rating-3,1006977
['Römerstraße Neckar-Alb-Aare'],[],['Hiking'],498.41km,07:40h,"3,263hm",260 - 780m,rating-,rating-0,116453
['Winterwandern Seebodenalp'],['easy'],['Winter hiking'],2.15km,01:00h,54hm,"1,020 - 1,074m",rating-2,rating-2,76052
['Fricktaler Höhenweg (5): Sennhütten - Mettau'],['medium'],['Hiking'],15.01km,04:11h,282hm,345 - 675m,rating-2,rating-4,120835
['Engelberg Trübsee'],['medium'],['Mountainbike'],19.56km,02:57h,797hm,"997 - 1,790m",rating-3,rating-4,177098
['Weg durchs grüne Band'],['medium'],['Hiking'],10.56km,02:57h,220hm,405 - 628m,rating-,rating-3,187843
['Urserntal'],['medium'],['Mountainbike'],28.48km,03:30h,524hm,"1,430 - 1,728m",rating-2,rating-3,310030
['Spielplatz-Safari rund um Altdorf'],['easy'],['Thematic route'],3.78km,01:11h,146hm,445 - 584m,rating-1,rating-1,87340
['Biketour Surenenpass'],['difficult'],['Mountainbike'],85.9km,14:16h,"3,617hm","434 - 2,293m",rating-5,rating-6,177095
['Tell-Trail Etappe 2: Muotathal - Brunnen'],['medium'],['Hiking'],27.86km,05:00h,398hm,"435 - 1,927m",rating-3,rating-3,972230
['Oberalppass: Andermatt - Sedrun'],[],['Hiking'],22.89km,00:20h,646hm,"1,404 - 2,046m",rating-,rating-0,260817
['Illgau - St. Karl-Ibergeregg-Rundweg'],['medium'],['Winter hiking'],6.38km,02:35h,380hm,"1,114 - 1,364m",rating-,rating-3,162059
"['Genussroute Sempachersee - ""Gourmet""']",[],['Cycling'],46.36km,03:25h,289hm,495 - 724m,rating-,rating-0,317727
['Veloroute Baldeggersee'],['medium'],['Cycling'],48.22km,03:35h,604hm,406 - 859m,rating-2,rating-4,280172
['Mäderenweg'],['easy'],['Hiking'],6.39km,02:02h,361hm,"927 - 1,250m",rating-2,rating-2,603115
['Aussichtsreiche Wanderung über den Heitersberg'],[],['Hiking'],19.99km,05:35h,463hm,381 - 788m,rating-,rating-0,925507
['Seerundgang Göscheneralp'],['medium'],['Hiking'],8.2km,02:55h,421hm,"1,785 - 2,052m",rating-3,rating-4,251896
['Salwideli - Arniberg - Tannigsbode - Salwideli'],['medium'],['Hiking'],16.09km,05:00h,571hm,"1,094 - 1,595m",rating-,rating-3,163913
['Kulinarische Wanderung auf der Klewenalp'],['easy'],['Hiking'],9.48km,03:04h,297hm,"1,154 - 1,772m",rating-,rating-2,656515
['Von Riemenstalden über Rophaien und Äbneter Stöckli'],['difficult'],['Hiking'],14.5km,06:00h,"1,350hm","1,000 - 2,087m",rating-4,rating-4,616548
['Dreipärke-Radtour Abschnitt West'],['medium'],['Cycling'],117.07km,08:30h,721hm,262 - 585m,rating-2,rating-4,189778
['5-Hütten-Panoramaweg: Etappe 3 Chelenalphütte SAC zur Bergseehütte SAC'],['medium'],['Hiking'],5.22km,02:05h,363hm,"2,342 - 2,611m",rating-3,rating-3,252518
['Höhenwanderung vom Oberalppass nach Nätschen'],['medium'],['Hiking'],10.9km,03:45h,433hm,"1,824 - 2,474m",rating-3,rating-4,362636
['Bruderklausenweg'],['medium'],['Hiking'],20.12km,06:02h,623hm,451 - 802m,rating-2,rating-4,257149
['Moorlandschaftspfad: Hilferenpass'],['medium'],['Hiking'],16.33km,06:00h,829hm,"883 - 1,539m",rating-1,rating-4,132223
['Seewligrat Biketour am Bürgenstock'],['medium'],['Mountainbike'],27.04km,03:08h,722hm,435 - 905m,rating-4,rating-3,444853
['Herzschlaufe Napf Etappe Entlebuch - Willisau #399'],['medium'],['Cycling'],53.44km,04:45h,"1,316hm","555 - 1,104m",rating-1,rating-4,1013210
['Chamerstock'],['easy'],['Hiking'],7.72km,03:00h,181hm,"1,341 - 2,150m",rating-,rating-2,251373
['Klewenalp-Stockhütte'],['easy'],['Hiking'],4.23km,01:19h,85hm,"1,278 - 1,673m",rating-1,rating-1,251418
['Vier - Quellen - Weg: Etappe 2 Über den Giübin zum Gotthardpass'],['medium'],['Hiking'],12.47km,05:15h,832hm,"2,028 - 2,776m",rating-4,rating-4,262231
['Fruttli Weg'],['easy'],['Thematic route'],3.45km,00:56h,38hm,"1,889 - 1,922m",rating-1,rating-1,257157
['Walenpfad'],['medium'],['Hiking'],11.8km,03:30h,801hm,"1,583 - 1,912m",rating-3,rating-3,6736
['Alpenkranz 3. Etappe: Biwaldalp- Sassigrat - Musenalp'],['medium'],['long-distance walking trail'],2.33km,01:10h,173hm,"1,493 - 1,868m",rating-2,rating-3,102101
['WanderWunder Schwyz: Moorweg Rothenthurm'],['medium'],['Hiking'],11.13km,02:55h,78hm,830 - 930m,rating-2,rating-3,541511
['Albert-Heim-Hütte SAC'],['medium'],['Hiking'],6.79km,02:30h,435hm,"2,105 - 2,542m",rating-3,rating-3,260853
['Waldstätterweg 7. Etappe Beckenried - Rütli'],['medium'],['Hiking'],13.25km,04:37h,618hm,435 - 745m,rating-1,rating-3,76799
['Bannalp'],[],['Snowshoe'],2.56km,00:55h,94hm,"1,624 - 1,718m",rating-,rating-0,279712
['Weg durchs grüne Band'],['medium'],['Hiking'],10.56km,02:57h,220hm,405 - 628m,rating-,rating-3,187843
['Alpenkranz 2. Etappe: Gitschenen – St. Jakob - Biwaldalp'],['medium'],['long-distance walking trail'],12.1km,04:30h,836hm,"966 - 1,727m",rating-2,rating-4,101036
['Die Alpenvorgartentour'],['medium'],['Cycling'],67.86km,06:00h,313hm,400 - 743m,rating-2,rating-4,179300
"['Mosen – Aesch – Hitzkirch – Gelfingen, Weingüterwanderung']",['easy'],['Hiking'],10.52km,02:55h,213hm,449 - 606m,rating-,rating-2,203832
['Chinzig Bike - 417 SchweizMobil'],['difficult'],['Mountainbike'],63.17km,07:30h,"2,500hm","434 - 2,073m",rating-5,rating-6,129986
['Kulinarische Wanderung auf der Klewenalp'],['easy'],['Hiking'],9.48km,03:04h,297hm,"1,154 - 1,772m",rating-,rating-2,656515
['Erlebnis Wasserschloss: Brückenwanderung lang'],['easy'],['Hiking'],10.22km,02:31h,33hm,329 - 362m,rating-1,rating-2,120885
['Durch den Ostergau'],['easy'],['Hiking'],12.69km,03:10h,363hm,549 - 699m,rating-2,rating-2,51216
['Nach dem Fisch zum Bürgenstock'],['medium'],['Hiking'],3.15km,01:20h,442hm,435 - 877m,rating-1,rating-3,563543
['Riedalp-Trail Brunni'],['medium'],['Snowshoe'],2.89km,01:30h,129hm,"1,513 - 1,631m",rating-,rating-3,281733
['Hochstammland Tour'],['medium'],['Cycling'],58.16km,04:18h,636hm,396 - 753m,rating-,rating-3,157912
['Alpenkranz 23. Etappe: Rotondohütte -Furkapass-  Sidelenhütte (via Rottälligrat)'],['difficult'],['long-distance walking trail'],14.25km,06:15h,971hm,"2,367 - 2,747m",rating-4,rating-5,231159
['Obwaldner Höhenweg: Etappe 1'],['difficult'],['Hiking'],21.11km,06:30h,639hm,"1,181 - 2,070m",rating-3,rating-5,257152
['Chäferliweg Illgau'],['easy'],['Thematic route'],2.75km,00:50h,10hm,"811 - 1,179m",rating-,rating-1,158667
['Zu Besuch beim Weingut Heidegg und Kaiserspan'],[],['Hiking'],4.7km,01:20h,92hm,469 - 561m,rating-,rating-0,850708
['Marbacher Panoramarunde'],['medium'],['Mountainbike'],22.09km,03:30h,952hm,"830 - 1,527m",rating-3,rating-3,132287
['Rundtour Göscheneralp'],['medium'],['Mountainbike'],24.89km,03:14h,701hm,"1,097 - 1,798m",rating-,rating-3,159605
['Via Alpenpanorama-Weg auf den Napf'],['medium'],['Hiking'],10.42km,03:40h,600hm,"982 - 1,394m",rating-3,rating-3,58669
['Rundwanderung an der romantischen Reuss'],[],['Hiking'],19.99km,04:50h,41hm,350 - 390m,rating-,rating-0,544339
['Von Tschinglen via Gandstock - Mittaghorn - Martinsmadhütte nach Elm Töniberg'],['difficult'],['Hiking'],9.7km,05:30h,970hm,"1,037 - 2,415m",rating-4,rating-4,616583
['Grotzliweg Fürenalp'],['easy'],['Hiking'],3.2km,01:30h,161hm,"1,800 - 1,955m",rating-3,rating-3,6664
['Weg Innerschweiz: Einsiedeln - Buochs'],['difficult'],['Cycling'],50.24km,04:00h,"1,038hm","434 - 1,413m",rating-5,rating-4,156908
['Rundtour Luthern - Ober Scheidegg'],['medium'],['Hiking'],12.35km,04:00h,561hm,"769 - 1,212m",rating-3,rating-4,594409
['Natur und Genuss im Jurapark Aargau'],['difficult'],['Cycling'],68.9km,05:00h,"1,064hm",307 - 655m,rating-2,rating-5,120849
['Salz erleben - auf dem historischen Salzparcours'],['easy'],['Hiking'],3.21km,00:48h,9hm,264 - 300m,rating-1,rating-1,343562
['Arnisee - Sunniggrat - Leutschachhütte'],['difficult'],['Hiking'],13.3km,05:18h,"1,015hm","1,366 - 2,226m",rating-,rating-5,108707
['Vermigelhütte SAC'],['medium'],['Hiking'],16.3km,05:15h,674hm,"1,436 - 2,042m",rating-2,rating-3,251901
['Zurzibieter E-Bike Tour'],['medium'],['Cycling'],42.72km,03:00h,361hm,312 - 509m,rating-2,rating-4,117045
['Alpkäse-Trail Etappe Untertrübsee/Gerschnialp'],['easy'],['Thematic route'],8.46km,02:35h,412hm,"997 - 1,279m",rating-,rating-2,329545
['Erstfeldertal Bike - 405 SchweizMobil'],['medium'],['Mountainbike'],14.12km,02:00h,620hm,"463 - 1,085m",rating-4,rating-3,129991
['Himmlische Pfade: Heiligkreuz - Werthenstein'],['medium'],['Pilgrimage'],20.44km,05:15h,137hm,"570 - 1,128m",rating-1,rating-4,156772
['Melchsee-Frutt - Distelboden - Tannalp'],[],['Cycling'],9.3km,01:00h,137hm,"1,895 - 2,000m",rating-2,rating-2,2256
['Furkapass: Realp - Oberwald'],['difficult'],['Racing'],29.6km,01:50h,894hm,"1,364 - 2,436m",rating-2,rating-5,260844
['Panorama Biketour auf Klewenalp'],['medium'],['Mountainbike'],20.46km,03:16h,849hm,"814 - 1,597m",rating-1,rating-3,451313
"['Napf, 1406 m von Romoos']",['medium'],['Hiking'],20.48km,06:15h,962hm,"792 - 1,405m",rating-4,rating-4,110808
['Jänzi Panorama Trail'],['medium'],['Hiking'],12.5km,04:00h,502hm,"1,348 - 1,738m",rating-2,rating-4,289909
['Walenstock Loop'],['medium'],['Trailrunning'],23.08km,05:00h,"1,498hm","1,596 - 2,558m",rating-3,rating-4,761106
['WanderWunderSchwyz: Ibergeregg bis Laucherenstöckli'],['medium'],['Hiking'],10.84km,03:47h,461hm,"1,403 - 1,725m",rating-2,rating-3,368327
"['Rundweg Seebodenalp Küssnacht am Rigi, Schweiz']",['medium'],['Hiking'],9.84km,03:12h,612hm,"1,014 - 1,599m",rating-3,rating-4,253286
['Luzerner Weg: Werthenstein - Willisau'],['easy'],['Pilgrimage'],14.23km,03:53h,206hm,548 - 672m,rating-,rating-1,156749
"['JW für Radfahrer ""Luzernerweg"": Luzern - Burgdorf']",['difficult'],['Cycling'],75.19km,05:40h,"1,070hm",434 - 845m,rating-5,rating-5,156902
['Familienwanderung Erlebnisweg Gurtnellen'],['easy'],['Thematic route'],3.99km,01:12h,65hm,647 - 742m,rating-1,rating-1,205618
['Winterwanderung Gastronomische Rundwanderung Sörenberg'],['easy'],['Winter hiking'],8.73km,02:30h,57hm,"1,097 - 1,464m",rating-2,rating-2,262288
['Klingnauer Stausee'],['easy'],['Cycling'],24.6km,01:40h,82hm,313 - 394m,rating-2,rating-2,117069
['Dani Schniders Profi-Trainigsstrecke'],['difficult'],['Cycling'],79.41km,03:30h,"2,200hm","571 - 1,079m",rating-4,rating-5,132213
['Tell-Trail Etappe 3: Brunnen - Rigi Kaltbad - Luzern'],['medium'],['Hiking'],37.76km,05:00h,843hm,"432 - 1,657m",rating-4,rating-4,972231
['Höhenweg Maderanertal'],['medium'],['Hiking'],15.23km,05:48h,693hm,"830 - 2,031m",rating-3,rating-3,107857
['Dreipässefahrt: Susten - Grimsel - Furka'],['difficult'],['Racing'],119.47km,07:20h,"3,561hm","626 - 2,436m",rating-2,rating-5,260864
['Winterwanderweg 525: Engelweg Seelisberg'],['easy'],['Winter hiking'],1.69km,00:28h,28hm,829 - 857m,rating-1,rating-1,164698
['Fricktaler Höhenweg (4): Frick - Sennhütten'],['medium'],['Hiking'],14.51km,04:15h,476hm,343 - 720m,rating-2,rating-4,120939
['Rundweg St. Meinrad – Etzelkulm'],['medium'],['Hiking'],2.87km,01:01h,148hm,"949 - 1,098m",rating-,rating-3,491842
['Spielplatz-Safari rund um Altdorf'],['easy'],['Thematic route'],3.78km,01:11h,146hm,445 - 584m,rating-1,rating-1,87340
['Steinberg'],['medium'],['Ski-Freeride'],4.48km,00:15h,-,"1,764 - 3,039m",rating-,rating-4,283319
['Alpenkranz 14. Etappe: Windgällenhütte - Tritt - Hüfihütte'],['medium'],['long-distance walking trail'],8.6km,04:10h,907hm,"1,424 - 2,331m",rating-3,rating-4,245407
['Alpenblumenweg um den Klewenstock'],['easy'],['Hiking'],3.06km,01:00h,64hm,"1,582 - 1,642m",rating-,rating-1,563554
"['Rigi-Panoramaweg, Rigi First - Rigi Scheidegg']",['easy'],['Hiking'],6.91km,02:10h,245hm,"1,424 - 1,643m",rating-,rating-2,72770
['Schneeschuhtrail 880: Göschenen'],['medium'],['Snowshoe'],2.72km,01:02h,91hm,"1,100 - 1,194m",rating-2,rating-3,165230
"['Schlittelweg Nätschen-Andermatt, Anfahrt mit dem Zug']",['easy'],['Sledge'],4.4km,00:20h,9hm,"1,457 - 1,816m",rating-1,rating-1,93699
