title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Neuenburg - Ins'],['easy'],['Long distance cycling'],16.14km,01:05h,25hm,431 - 455m,rating-1,rating-1,185712
['Rundwanderung auf dem Born'],['medium'],['Hiking'],12.8km,03:30h,412hm,388 - 690m,rating-1,rating-3,130969
['Gantrisch-Fribourg-Weg: Fribourg - Payerne'],['difficult'],['Pilgrimage'],22.27km,05:56h,215hm,449 - 722m,rating-,rating-5,156758
['Von Porrentruy nach St-Ursanne'],['medium'],['Hiking'],17.62km,05:30h,800hm,422 - 886m,rating-2,rating-4,55733
['Sanfte Höhen am Rande des Grossen Mooses'],['medium'],['Hiking'],11.85km,03:00h,232hm,443 - 532m,rating-1,rating-3,49563
['Die höchste Solothurnerin'],['medium'],['Hiking'],12.67km,04:30h,825hm,"618 - 1,443m",rating-2,rating-4,130623
['Von La Sagne über Mont Racine und Tête de Ran'],['medium'],['Hiking'],14.44km,04:30h,530hm,"1,026 - 1,438m",rating-2,rating-4,215088
['Sälischlössli Olten'],['medium'],['Hiking'],10.89km,03:00h,283hm,388 - 650m,rating-1,rating-3,130972
['Château-d’Oex – Praz Perron – Le Grin – La Braye – Praz Perron – Château-d’Oex'],['difficult'],['Hiking'],12.78km,04:45h,794hm,"902 - 1,629m",rating-4,rating-6,375350
['Familientour Christian Schenker'],['easy'],['Thematic route'],2.11km,02:00h,11hm,390 - 401m,rating-,rating-2,604931
['VM Feydey'],['easy'],['Hiking'],4.76km,01:27h,168hm,"1,288 - 1,456m",rating-2,rating-2,104897
['ViaSurprise-Rundroute: Beinwil - Zwingen'],['medium'],['Hiking'],16.02km,04:45h,520hm,331 - 877m,rating-1,rating-4,130658
['Creux du Van (2): La Grand Vy - Noiraigue'],['medium'],['Snowshoe'],7.35km,02:00h,90hm,"722 - 1,463m",rating-3,rating-4,984802
['Grenchen Bike (560)'],['easy'],['Mountainbike'],12.92km,01:30h,349hm,579 - 772m,rating-2,rating-2,995273
['Route La-Chaux-de-Fonds – Le Locle'],['medium'],['Hiking'],11.68km,03:21h,315hm,"963 - 1,273m",rating-3,rating-3,71483
['DT  Glacier 3000 - Gsteig'],['medium'],['Hiking'],13.47km,03:59h,115hm,"2,034 - 2,846m",rating-3,rating-3,104827
['Olten-Schafmatt-Rohr-Olten'],['medium'],['Mountainbike'],31.5km,04:00h,705hm,389 - 890m,rating-2,rating-3,130965
['Rundtour Weissenstein – Hinterweissenstein'],['easy'],['Hiking'],4.15km,01:15h,63hm,"1,216 - 1,279m",rating-1,rating-1,174628
['Vom Schwarzsee auf die Kaiseregg'],['medium'],['Hiking'],12.81km,04:45h,758hm,"1,046 - 2,184m",rating-3,rating-4,174060
['Wasseramt-Route Nr. 802: Von Solothurn nach Herzogenbuchsee'],['easy'],['Cycling'],17.02km,01:30h,93hm,427 - 510m,rating-1,rating-1,471937
['Natur pur Solothurn'],['easy'],['Cycling'],26.16km,01:45h,66hm,427 - 490m,rating-1,rating-1,471941
['Gländerwägli-Trail'],['easy'],['Snowshoe'],4.62km,02:30h,310hm,"1,055 - 1,303m",rating-2,rating-2,505378
['Von Noiraigue nach Creux du Van'],['medium'],['Hiking'],14.3km,04:30h,750hm,"725 - 1,456m",rating-3,rating-3,616594
['Planetenweg Weissenstein'],['medium'],['Thematic route'],11.51km,03:45h,487hm,"1,181 - 1,442m",rating-2,rating-3,130617
['Gantrisch-Fribourg-Weg: Fribourg - Payerne'],['difficult'],['Pilgrimage'],22.27km,05:56h,215hm,449 - 722m,rating-,rating-5,156758
['Wandergipfel zum 2. - La Berra'],['medium'],['Hiking'],13.07km,04:30h,940hm,"816 - 1,719m",rating-2,rating-4,159631
"['Aare-Route, Etappe 6: Von Solothurn nach Aarau']",['easy'],['Cycling'],58.56km,04:00h,28hm,367 - 444m,rating-1,rating-2,471058
['Altisberg - Ausläufer des Bucheggbergs'],[],['Hiking'],11.81km,03:00h,163hm,452 - 538m,rating-,rating-0,85466
['Weg der Romandie: Allaman - Céligny'],['difficult'],['Pilgrimage'],29.1km,07:31h,284hm,373 - 437m,rating-,rating-5,156755
['Zum Chaux d’Abel'],[],['Hiking'],9.94km,02:50h,200hm,"791 - 1,204m",rating-,rating-0,276210
['Basler Weg: Welschenrohr - Solothurn'],['difficult'],['Pilgrimage'],18.53km,05:54h,655hm,"436 - 1,280m",rating-,rating-5,156873
['Walk to Montreux'],['medium'],['Hiking'],21.8km,05:25h,"1,312hm","1,085 - 1,989m",rating-2,rating-4,226375
['Weissenstein'],['medium'],['Mountainbike'],29.12km,05:04h,"1,312hm","429 - 1,397m",rating-4,rating-4,60346
['ViaSurprise-Rundroute: Beinwil - Zwingen'],['medium'],['Hiking'],16.02km,04:45h,520hm,331 - 877m,rating-1,rating-4,130658
['Grenchenberg - wo einst Bundesrat Willi Ritschard wanderte'],[],['Hiking'],8.75km,02:40h,365hm,"1,073 - 1,371m",rating-,rating-0,85467
['Von Olten nach Schönenwerd der Aare entlang'],['easy'],['Hiking'],11.17km,03:00h,114hm,374 - 468m,rating-1,rating-2,130975
['LEY-HDW - Panoramaweg'],['easy'],['Hiking'],7.37km,02:14h,289hm,"1,388 - 1,646m",rating-2,rating-2,108307
['LEY-HDW - Roc de Veyges'],['easy'],['Hiking'],8.4km,02:24h,199hm,"1,085 - 1,410m",rating-2,rating-2,108302
['Vom Weissenstein auf die Röti'],['easy'],['Hiking'],3.58km,01:15h,166hm,"1,259 - 1,395m",rating-1,rating-1,174646
['Eine  Tour zwischen Himmel und Hölle in Hägendorf'],['medium'],['Hiking'],9.4km,03:10h,507hm,"559 - 1,005m",rating-,rating-3,693280
['ViaSurprise-Rundroute: Seewen - Wasserfallen'],['medium'],['Hiking'],12.6km,03:45h,660hm,507 - 958m,rating-2,rating-4,130682
['Von Balm bei Günsberg über Zwischenberg auf den Weissenstein'],['medium'],['Hiking'],6.17km,02:45h,837hm,"648 - 1,395m",rating-2,rating-3,174643
['Olten-Schafmatt-Rohr-Olten'],['medium'],['Mountainbike'],31.5km,04:00h,705hm,389 - 890m,rating-2,rating-3,130965
['ViaSurprise-Zubringer: Balsthal - Wasserfallen'],['easy'],['Hiking'],4.81km,02:15h,454hm,"546 - 1,006m",rating-2,rating-2,130660
['ViaSurprise-Zubringer: Welschenrohr - Passwang'],['difficult'],['Hiking'],17.39km,05:30h,950hm,"679 - 1,202m",rating-2,rating-5,130637
['Kloster Mariastein & Ruine Landskron'],['medium'],['Hiking'],7.01km,02:45h,390hm,379 - 579m,rating-1,rating-3,132997
['VM Lavanchy'],['easy'],['Hiking'],2.72km,00:57h,164hm,"1,349 - 1,506m",rating-2,rating-2,104898
['ViaSurprise-Zubringer: Balsthal - Wasserfallen'],['easy'],['Hiking'],4.81km,02:15h,454hm,"546 - 1,006m",rating-2,rating-2,130660
['Vom Ufer des Tabeillon zum Doubs'],['medium'],['Hiking'],13.14km,04:00h,570hm,490 - 932m,rating-3,rating-3,162959
['Fortifikation Hauenstein'],['medium'],['Hiking'],14.41km,04:40h,620hm,"668 - 1,097m",rating-3,rating-3,276195
['LEY-MTB - Pierre du Moëllé & Les Fers'],[],['Mountainbike'],18.55km,02:43h,748hm,"1,326 - 1,708m",rating-,rating-0,729591
['Gäu-Tour'],['medium'],['Cycling'],36.95km,03:00h,155hm,390 - 485m,rating-2,rating-3,130964
['DT  Glacier 3000 - Gsteig'],['medium'],['Hiking'],13.47km,03:59h,115hm,"2,034 - 2,846m",rating-3,rating-3,104827
['GFW 23 - Mozartweg'],['medium'],['Hiking'],16.38km,04:30h,300hm,447 - 587m,rating-2,rating-3,509611
['Grenchenberg-Rundtour'],['easy'],['Hiking'],8.11km,02:30h,276hm,"1,220 - 1,374m",rating-1,rating-2,130615
['LEY-DW - 3-Merenwandeling + Chamossaire'],[],['Hiking'],11.72km,04:18h,635hm,"1,693 - 2,112m",rating-,rating-0,499526
['Olten-Läufelfingen-Belchen-Olten'],['medium'],['Mountainbike'],32.61km,04:30h,982hm,"390 - 1,055m",rating-2,rating-4,130968
['DW Leysin - Aigle'],['medium'],['Hiking'],13.69km,04:16h,277hm,"413 - 1,575m",rating-2,rating-3,104893
['Natur pur Solothurn'],['easy'],['Cycling'],26.16km,01:45h,66hm,427 - 490m,rating-1,rating-1,471941
['Eine  Tour zwischen Himmel und Hölle in Hägendorf'],['medium'],['Hiking'],9.4km,03:10h,507hm,"559 - 1,005m",rating-,rating-3,693280
['Abwechslungsreiche Wanderung in der Ajoie'],['easy'],['Hiking'],13.47km,03:15h,154hm,424 - 548m,rating-2,rating-2,111113
['Panoramatour'],['medium'],['Hiking'],8.31km,03:30h,798hm,"655 - 1,395m",rating-2,rating-3,130619
['NM Les Fers'],['easy'],['Hiking'],6.77km,02:12h,304hm,"1,381 - 1,678m",rating-2,rating-2,104914
['3-toppentocht'],['difficult'],['Hiking'],14.77km,05:55h,"1,241hm","1,388 - 2,329m",rating-4,rating-5,104881
['Witi-Tour Solothurn'],['easy'],['Cycling'],28.02km,01:00h,71hm,425 - 492m,rating-1,rating-1,471939
['Gratwanderung auf dem Jura-Höhenweg'],['medium'],['Hiking'],11.63km,03:10h,360hm,"670 - 1,159m",rating-3,rating-2,162692
['Via Gottardo: Von Olten nach Zofingen'],['medium'],['Hiking'],15.14km,04:14h,300hm,390 - 562m,rating-2,rating-3,300802
['Olten-Läufelfingen-Belchen-Olten'],['medium'],['Mountainbike'],32.61km,04:30h,982hm,"390 - 1,055m",rating-2,rating-4,130968
['Der Naturpark-Klassiker'],['medium'],['Hiking'],9.96km,03:30h,594hm,"598 - 1,161m",rating-2,rating-3,130678
['DT  Glacier 3000 - Gsteig'],['medium'],['Hiking'],13.47km,03:59h,115hm,"2,034 - 2,846m",rating-3,rating-3,104827
"[""Roche-d'Or""]",['medium'],['Hiking'],15.87km,04:40h,504hm,527 - 839m,rating-2,rating-3,70030
['Drei-Seen-Weg: Mariastein - Kleinlützel'],['easy'],['Pilgrimage'],10.37km,03:04h,247hm,419 - 797m,rating-,rating-2,156786
['Weg der Romandie: Romont - Genf'],['difficult'],['Cycling'],122.6km,08:41h,980hm,372 - 892m,rating-2,rating-6,156905
['VM Lavanchy'],['easy'],['Hiking'],2.72km,00:57h,164hm,"1,349 - 1,506m",rating-2,rating-2,104898
['NM Solacyre'],['medium'],['Hiking'],9.08km,03:05h,485hm,"1,388 - 1,832m",rating-3,rating-4,104832
['Vom Balmberg zum Weissenstein'],['easy'],['Hiking'],3.67km,01:30h,264hm,"1,056 - 1,293m",rating-1,rating-1,174645
['LEY-HDW - Panoramaweg'],['easy'],['Hiking'],7.37km,02:14h,289hm,"1,388 - 1,646m",rating-2,rating-2,108307
['GFW 23 - Mozartweg'],['medium'],['Hiking'],16.38km,04:30h,300hm,447 - 587m,rating-2,rating-3,509611
['LEY-DW - Karreveld met kabelbaan'],['medium'],['Hiking'],9.07km,03:21h,371hm,"1,381 - 2,193m",rating-3,rating-3,112041
['Weissenstein'],['medium'],['Mountainbike'],29.12km,05:04h,"1,312hm","429 - 1,397m",rating-4,rating-4,60346
['Rundwanderung auf dem Born'],['medium'],['Hiking'],12.8km,03:30h,412hm,388 - 690m,rating-1,rating-3,130969
"['Aare-Route, Etappe 6: Von Solothurn nach Aarau']",['easy'],['Cycling'],58.56km,04:00h,28hm,367 - 444m,rating-1,rating-2,471058
['LEY-HDW - Roc de Veyges'],['easy'],['Hiking'],8.4km,02:24h,199hm,"1,085 - 1,410m",rating-2,rating-2,108302
['Villeret via Combe Grède – Chasseral – Les Colisses du Haut – La Ragie nach Orvin'],['easy'],['Hiking'],22.7km,05:30h,"1,090hm","668 - 1,606m",rating-2,rating-2,854796
['Leysin VM Dorpsverkenning'],['easy'],['Hiking'],5.09km,01:29h,157hm,"1,253 - 1,410m",rating-1,rating-1,108308
['Drei-Seen-Weg: Kleinlützel - Delémont'],['easy'],['Pilgrimage'],13.77km,03:58h,365hm,399 - 659m,rating-,rating-2,156787
['Swiss Fine Wine Tour - Chablais'],['easy'],['Thematic route'],6.21km,01:47h,172hm,404 - 554m,rating-1,rating-2,114362
['Natur pur Solothurn'],['easy'],['Cycling'],26.16km,01:45h,66hm,427 - 490m,rating-1,rating-1,471941
['Zum Etang de la Gruère'],['medium'],['Hiking'],14.24km,04:00h,319hm,"953 - 1,032m",rating-2,rating-3,55506
['Von Basel zum Mont Blanc Etappe 6: Welschenrohr – Obergrenchenberg'],['difficult'],['Hiking'],19.45km,06:30h,"1,041hm","676 - 1,409m",rating-2,rating-6,1040673
['DW Arnensee'],['difficult'],['Hiking'],17.06km,07:24h,"1,005hm","1,541 - 2,170m",rating-3,rating-5,104836
['Vom Ufer des Tabeillon zum Doubs'],['medium'],['Hiking'],13.14km,04:00h,570hm,490 - 932m,rating-3,rating-3,162959
['Rundwanderung auf dem Born'],['medium'],['Hiking'],12.8km,03:30h,412hm,388 - 690m,rating-1,rating-3,130969
['Von Basel zum Mont Blanc Etappe 2: Dornach – Mariastein'],['difficult'],['Hiking'],17.5km,05:15h,651hm,289 - 837m,rating-1,rating-5,1040680
['Zisternenwanderung am Clos du Doubs'],['easy'],['Hiking'],10.71km,03:30h,560hm,422 - 907m,rating-2,rating-2,289488
['LEY-DW - Karreveld met kabelbaan'],['medium'],['Hiking'],9.07km,03:21h,371hm,"1,381 - 2,193m",rating-3,rating-3,112041
['SNOOC - Schlittelweg Weissenstein-Süd'],['easy'],['Sledge'],4.92km,00:14h,-,"654 - 1,280m",rating-2,rating-2,979131
['Von Saignelégier nach La-Chaux-des-Breuleux'],['medium'],['Thematic route'],13.4km,03:30h,137hm,"954 - 1,021m",rating-1,rating-3,262240
['Gländerwägli-Trail'],['easy'],['Snowshoe'],4.62km,02:30h,310hm,"1,055 - 1,303m",rating-2,rating-2,505378
['Stadt-Land-Tour Olten'],['medium'],['Cycling'],80.36km,05:00h,161hm,391 - 546m,rating-2,rating-3,471940
['DT  Refuge de Pierredar'],['medium'],['Hiking'],10.71km,04:40h,"1,097hm","1,196 - 2,292m",rating-3,rating-4,104890
['Quer durchs Wasseramt'],['medium'],['Hiking'],16.12km,04:00h,137hm,431 - 508m,rating-1,rating-3,130670
['DW  Verborgen Vallei'],[],['Hiking'],10.98km,03:47h,628hm,"1,435 - 2,039m",rating-,rating-0,104853
['Von Trimbach via Ruine Froburg nach Hauenstein und Trimbach'],['medium'],['Hiking'],8.73km,03:00h,430hm,425 - 836m,rating-2,rating-3,130974
['Von Balm bei Günsberg über Zwischenberg auf den Weissenstein'],['medium'],['Hiking'],6.17km,02:45h,837hm,"648 - 1,395m",rating-2,rating-3,174643
['ViaSurprise-Zubringer: Balsthal - Wasserfallen'],['easy'],['Hiking'],4.81km,02:15h,454hm,"546 - 1,006m",rating-2,rating-2,130660
['Von Basel zum Mont Blanc Etappe 6: Welschenrohr – Obergrenchenberg'],['difficult'],['Hiking'],19.45km,06:30h,"1,041hm","676 - 1,409m",rating-2,rating-6,1040673
['Chemin de pionniers - Vue des Alpes'],['medium'],['Hiking'],15.45km,04:45h,500hm,"743 - 1,307m",rating-3,rating-4,51128
['Vom Balmberg zum Weissenstein'],['easy'],['Hiking'],3.67km,01:30h,264hm,"1,056 - 1,293m",rating-1,rating-1,174645
['Gäu-Tour'],['medium'],['Cycling'],36.95km,03:00h,155hm,390 - 485m,rating-2,rating-3,130964
['Chälegrabenschlucht & Remelturm'],['medium'],['Hiking'],15.49km,04:30h,600hm,453 - 825m,rating-2,rating-4,133002
['Olten-Aarau-Olten'],['medium'],['Cycling'],29.64km,03:00h,303hm,370 - 530m,rating-2,rating-3,130973
['DT  Refuge de Pierredar'],['medium'],['Hiking'],10.71km,04:40h,"1,097hm","1,196 - 2,292m",rating-3,rating-4,104890
['Oberdorf-Grenchen-Waldrandweg'],['easy'],['Hiking'],12.09km,03:15h,113hm,440 - 717m,rating-1,rating-2,130613
['Haut du Droit'],['medium'],['Hiking'],16.73km,05:15h,734hm,"436 - 1,047m",rating-3,rating-4,55593
['Balmberg–Röti-Rundtour'],['medium'],['Hiking'],8.23km,02:45h,372hm,"1,055 - 1,395m",rating-2,rating-3,130674
['Vom Balmberg via Röti zum Weissenstein (Direttissima)'],['medium'],['Hiking'],3.47km,01:30h,361hm,"1,056 - 1,395m",rating-2,rating-3,174641
['Die Jurahöhe des Montoz erleben'],['medium'],['Hiking'],19.99km,05:40h,400hm,"643 - 1,303m",rating-3,rating-4,162744
['VM Feydey'],['easy'],['Hiking'],4.76km,01:27h,168hm,"1,288 - 1,456m",rating-2,rating-2,104897
['LEY-RACE - Aigle - Villars - Col de la Croix'],[],['Racing'],65.06km,04:41h,"1,797hm","393 - 1,776m",rating-,rating-0,552516
['NM Les Fers'],['easy'],['Hiking'],6.77km,02:12h,304hm,"1,381 - 1,678m",rating-2,rating-2,104914
['Buechibärg Rundfahrt'],['medium'],['Cycling'],49.77km,03:30h,219hm,426 - 609m,rating-1,rating-4,471936
['Sälischlössli Olten'],['medium'],['Hiking'],10.89km,03:00h,283hm,388 - 650m,rating-1,rating-3,130972
"[""Leysin VM Nid d'Aigle""]",['easy'],['Hiking'],4.56km,01:16h,78hm,"1,232 - 1,372m",rating-2,rating-2,108306
['Route La-Chaux-de-Fonds – Le Locle'],['medium'],['Hiking'],11.68km,03:21h,315hm,"963 - 1,273m",rating-3,rating-3,71483
['La Combe Tabeillon'],['difficult'],['Hiking'],22.43km,06:10h,430hm,"505 - 1,002m",rating-3,rating-5,55676
['LEY-RACE - Aigle - Villars - Col de la Croix'],[],['Racing'],65.06km,04:41h,"1,797hm","393 - 1,776m",rating-,rating-0,552516
"['Mittelland-Route, Etappe 5: Von Solothurn nach Ins']",['difficult'],['Cycling'],62.86km,04:30h,43hm,427 - 460m,rating-3,rating-6,471931
['Swiss fine wine trail - Vully'],['easy'],['Thematic route'],4.98km,01:25h,87hm,426 - 498m,rating-1,rating-1,114354
['Vom Untergrenchenberg zum Weissenstein'],['medium'],['Hiking'],12.06km,04:00h,471hm,"1,178 - 1,443m",rating-2,rating-4,129394
['Bäumiges Freiburg 2'],['easy'],['Hiking'],7.56km,02:45h,290hm,767 - 985m,rating-2,rating-2,276236
['Natur pur Solothurn'],['easy'],['Cycling'],26.16km,01:45h,66hm,427 - 490m,rating-1,rating-1,471941
['Von Olten nach Grenchen'],['easy'],['Cycling'],52.81km,04:00h,168hm,391 - 546m,rating-1,rating-2,471934
['Wandererlebnis mit dem Bus - Büren-Liestal'],[],['Hiking'],8.2km,02:20h,205hm,327 - 593m,rating-,rating-0,812808
['Quer durchs Wasseramt'],['medium'],['Hiking'],16.12km,04:00h,137hm,431 - 508m,rating-1,rating-3,130670
['Durch die Jaunbachschlucht nach Gruyere'],['easy'],['Hiking'],10.68km,03:15h,210hm,691 - 878m,rating-2,rating-2,136726
['DW Karreveld'],['medium'],['Hiking'],11.18km,04:17h,813hm,"1,381 - 2,193m",rating-3,rating-4,104894
['Pâturages boisés du Jura neuchâtelois'],['medium'],['Hiking'],16.85km,04:30h,550hm,"1,003 - 1,309m",rating-2,rating-3,51604
['Von Oberdorf via Hinterweissenstein zur Mittelstation Nesselboden'],['medium'],['Hiking'],5.58km,02:30h,587hm,"654 - 1,240m",rating-2,rating-3,174625
['La Haute Borne'],['medium'],['Hiking'],16.85km,05:10h,693hm,411 - 945m,rating-3,rating-4,70025
['LEY-HDW - Panoramaweg'],['easy'],['Hiking'],7.37km,02:14h,289hm,"1,388 - 1,646m",rating-2,rating-2,108307
['Drei-Seen-Weg: Delémont - Mont Raimeux'],['difficult'],['Pilgrimage'],18.37km,05:37h,934hm,"407 - 1,288m",rating-1,rating-5,156785
['Gländerwägli-Trail'],['easy'],['Snowshoe'],4.62km,02:30h,310hm,"1,055 - 1,303m",rating-2,rating-2,505378
['Von Nesselboden über Balmfluhköpfli und Stigelos nach Oberdorf'],['medium'],['Hiking'],9.49km,03:15h,305hm,"654 - 1,289m",rating-2,rating-3,174640
['Wandergipfel zum 2. - La Berra'],['medium'],['Hiking'],13.07km,04:30h,940hm,"816 - 1,719m",rating-2,rating-4,159631
['Olten-Läufelfingen-Belchen-Olten'],['medium'],['Mountainbike'],32.61km,04:30h,982hm,"390 - 1,055m",rating-2,rating-4,130968
['Eine gewaltige Arena: Der Creux du Van'],['medium'],['Hiking'],13.71km,04:50h,798hm,"450 - 1,458m",rating-4,rating-4,49146
['Vom Weissenstein barrierfrei zum Hinterweissenstein'],['easy'],['Hiking'],4.44km,01:15h,61hm,"1,225 - 1,283m",rating-1,rating-1,174277
"['Kaisereggpass - schroffe Grate, liebliche Bergseelein']",['difficult'],['Hiking'],16.16km,06:00h,"1,000hm","814 - 2,070m",rating-4,rating-5,50433
['Drei-Seen-Weg: Delémont - Mont Raimeux'],['difficult'],['Pilgrimage'],18.37km,05:37h,934hm,"407 - 1,288m",rating-1,rating-5,156785
['Walk to Gstaad'],['easy'],['Hiking'],10.26km,02:30h,253hm,"989 - 1,161m",rating-1,rating-1,247241
['Sanfte Höhen am Rande des Grossen Mooses'],['medium'],['Hiking'],11.85km,03:00h,232hm,443 - 532m,rating-1,rating-3,49563
['Von Basel zum Mont Blanc Etappe 7: Obergrenchenberg – Sonceboz'],['difficult'],['Hiking'],22.62km,06:15h,244hm,"643 - 1,358m",rating-1,rating-5,1040661
['Vom Schwarzsee auf die Kaiseregg'],['medium'],['Hiking'],12.81km,04:45h,758hm,"1,046 - 2,184m",rating-3,rating-4,174060
['LEY-DW - Chaux de Mont'],['difficult'],['Hiking'],14.77km,05:45h,"1,004hm","1,388 - 2,202m",rating-3,rating-5,108593
['Witi-Tour Solothurn'],['easy'],['Cycling'],28.02km,01:00h,71hm,425 - 492m,rating-1,rating-1,471939
['Leimental-Tour'],['medium'],['Mountainbike'],40.79km,02:45h,545hm,265 - 606m,rating-2,rating-3,371240
['ViaSurprise-Zubringer: Balsthal - Wasserfallen'],['easy'],['Hiking'],4.81km,02:15h,454hm,"546 - 1,006m",rating-2,rating-2,130660
['Olten-Schafmatt-Rohr-Olten'],['medium'],['Mountainbike'],31.5km,04:00h,705hm,389 - 890m,rating-2,rating-3,130965
['LEY-MTB - Les Fers'],[],['Mountainbike'],16.58km,02:00h,520hm,"1,209 - 1,678m",rating-,rating-0,552487
['Swiss Fine Wine Tour - Chablais'],['easy'],['Thematic route'],6.21km,01:47h,172hm,404 - 554m,rating-1,rating-2,114362
['Quer durchs Wasseramt'],['medium'],['Hiking'],16.12km,04:00h,137hm,431 - 508m,rating-1,rating-3,130670
['ViaSurprise-Rundroute: Dornach - Seewen'],['medium'],['Hiking'],13.83km,04:00h,580hm,295 - 759m,rating-2,rating-4,130680
