title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Mittelpunkt Waadt'],['easy'],['Hiking'],12.35km,03:30h,40hm,443 - 864m,rating-2,rating-2,276168
['Via Francigena: Lausanne - Vevey'],['medium'],['Pilgrimage'],23.43km,06:31h,229hm,372 - 527m,rating-,rating-4,156804
"[""Von der Videmanette ins Pays d'Enhaut""]",['medium'],['Hiking'],10.5km,03:25h,230hm,"914 - 2,141m",rating-4,rating-3,70042
"[""LEY-DW - Mont d'Or""]",['difficult'],['Hiking'],17.21km,07:51h,"1,199hm","1,381 - 2,175m",rating-3,rating-5,108304
['Via Francigena: Aigle - St-Maurice'],['medium'],['Pilgrimage'],17.51km,04:59h,398hm,394 - 643m,rating-,rating-3,156800
['LEY-WIW- La Boule de Gomme'],[],['Winter hiking'],4.36km,01:15h,83hm,"1,185 - 1,289m",rating-,rating-0,494779
['Glacier 3000 (Scex Rouge) - Sanetsch - Gsteig'],['difficult'],['Hiking'],18.98km,05:45h,107hm,"1,178 - 2,935m",rating-4,rating-5,131701
"['Col de Voré – Bergseen, Alpen, Gletschersicht']",['medium'],['Hiking'],12.68km,04:30h,420hm,"1,129 - 1,916m",rating-3,rating-3,58455
['Via Francigena: Variante Lignerolle'],['easy'],['Pilgrimage'],5.66km,01:37h,103hm,604 - 929m,rating-,rating-2,543688
['Mittelpunkt Waadt'],['easy'],['Hiking'],12.35km,03:30h,40hm,443 - 864m,rating-2,rating-2,276168
['Via Francigena: Lausanne - Vevey'],['medium'],['Pilgrimage'],23.43km,06:31h,229hm,372 - 527m,rating-,rating-4,156804
['Glacier 3000 (Scex Rouge) - Quille du Diable - Glacier 3000 (Scex Rouge)'],['medium'],['Hiking'],5km,01:30h,132hm,"2,822 - 2,923m",rating-3,rating-3,348118
['LEY-WIW- La Boule de Gomme'],[],['Winter hiking'],4.36km,01:15h,83hm,"1,185 - 1,289m",rating-,rating-0,494779
['Le Chenit – Col du Marchairuz – Le Chenit'],['difficult'],['Mountainbike'],50.48km,05:45h,"1,028hm","1,005 - 1,484m",rating-3,rating-5,1002834
['Swiss fine wine trail - Lavaux (UNESCO)'],['easy'],['Thematic route'],6.04km,01:47h,133hm,382 - 476m,rating-1,rating-1,114358
['Über die Sprachgrenze ins Saanenland'],['easy'],['Hiking'],7.46km,02:00h,180hm,"970 - 1,049m",rating-2,rating-2,508310
['LEY-WIW-DW- Leysin-Aigle'],[],['Winter hiking'],7.37km,02:15h,8hm,"419 - 1,388m",rating-,rating-0,494811
['Rougemont – Haute Combe (2039 M.ü.M)'],['medium'],['Ski tour'],7.34km,03:10h,"1,007hm","998 - 2,039m",rating-4,rating-4,950819
"[""LEY-DW - Mont d'Or""]",['difficult'],['Hiking'],17.21km,07:51h,"1,199hm","1,381 - 2,175m",rating-3,rating-5,108304
['Circuit gourmand pied du Jura'],['easy'],['Cycling'],26.57km,04:00h,154hm,659 - 760m,rating-,rating-2,203852
['Auf den Gipfel Dent de Vaulion'],['medium'],['Hiking'],10.65km,04:00h,475hm,"1,007 - 1,483m",rating-,rating-4,925522
['La Grande Traversée'],['medium'],['Hiking'],46.91km,08:00h,"1,185hm","659 - 1,679m",rating-,rating-4,67728
['Grosse Wanderroute - 1. Etappe'],['difficult'],['Hiking'],18.95km,08:00h,655hm,"1,038 - 1,490m",rating-2,rating-6,70833
['Trélex - 1/2 Barillette'],['medium'],['E-MTB'],17.66km,01:25h,515hm,510 - 905m,rating-3,rating-4,474621
['LEY-DW- Onder en langs kabelbanen van Les Diablerets'],[],['Hiking'],13.39km,05:40h,"1,237hm","1,329 - 2,486m",rating-,rating-0,1022681
['gorges-de-covatannaz'],['easy'],['Hiking'],10.32km,02:49h,562hm,"593 - 1,049m",rating-2,rating-2,449471
['Le Sommet des Diablerets (3210 m ü. M.)'],['difficult'],['Ski tour'],3.3km,01:15h,374hm,"2,837 - 3,210m",rating-5,rating-3,950834
['LEY-DW- Onder en langs kabelbanen van Les Diablerets'],[],['Hiking'],13.39km,05:40h,"1,237hm","1,329 - 2,486m",rating-,rating-0,1022681
['Tour d’aï'],['difficult'],['Hiking'],5.83km,01:53h,621hm,"1,893 - 2,318m",rating-3,rating-4,444714
['Bike Tour Parc Jura vaudois'],['medium'],['Cycling'],121.53km,08:00h,"1,879hm","620 - 1,342m",rating-2,rating-4,92256
"['Villars to Les Disblerets, from the Lac Noir to Meilleret']",['easy'],['Hiking'],4.54km,01:31h,290hm,"1,754 - 1,930m",rating-3,rating-3,959473
['Villars - Col de Soud - Villars'],['easy'],['Ski tour'],4.58km,01:05h,247hm,"1,246 - 1,522m",rating-2,rating-2,965158
['Au sommet du Jura suisse'],['medium'],['Hiking'],16.15km,08:00h,683hm,"743 - 1,679m",rating-2,rating-4,63372
['Circuit vélo Vallon du Nozon'],['medium'],['Cycling'],31.95km,04:00h,546hm,"634 - 1,179m",rating-,rating-4,203851
['Velotour St-Cergue'],['easy'],['Cycling'],12.16km,02:00h,293hm,"1,041 - 1,334m",rating-,rating-2,203848
['From one pass to the other !'],['medium'],['Hiking'],16.38km,08:00h,704hm,"1,171 - 1,654m",rating-3,rating-4,63353
['gorges-de-covatannaz'],['easy'],['Hiking'],10.32km,02:49h,562hm,"593 - 1,049m",rating-2,rating-2,449471
['Les Rasses - Chasseron - Les Cluds - Les Rasses'],['easy'],['Hiking'],11.41km,02:50h,457hm,"1,196 - 1,599m",rating-2,rating-2,497796
['Grosse Wanderroute - 1. Etappe'],['difficult'],['Hiking'],18.95km,08:00h,655hm,"1,038 - 1,490m",rating-2,rating-6,70833
"[""Zwischen Saanenland und Pays d'Enhaut""]",['medium'],['Hiking'],13.24km,04:40h,534hm,"1,009 - 2,141m",rating-4,rating-4,48956
['Glacier Walk'],['easy'],['Winter hiking'],2.43km,01:00h,48hm,"2,816 - 2,856m",rating-2,rating-2,76672
['La Givrine-St-Cergue'],['medium'],['Snowshoe'],8.84km,03:30h,191hm,"1,044 - 1,399m",rating-2,rating-4,60825
['La Grande Traversée - stage 3'],['medium'],['Hiking'],18.32km,04:00h,236hm,659 - 835m,rating-2,rating-4,63840
['Tour du Lac de Joux'],['medium'],['Hiking'],22.17km,08:00h,93hm,"1,004 - 1,093m",rating-,rating-4,925523
['Velotour Vallée de Joux'],['medium'],['Cycling'],30.24km,04:00h,147hm,"1,007 - 1,097m",rating-,rating-4,203850
['Via Francigena: Variante Vidy'],['easy'],['Pilgrimage'],7.82km,01:59h,2hm,373 - 513m,rating-,rating-2,546944
['gorges-de-covatannaz'],['easy'],['Hiking'],10.32km,02:49h,562hm,"593 - 1,049m",rating-2,rating-2,449471
['Via Francigena: Variante Vidy'],['easy'],['Pilgrimage'],7.82km,01:59h,2hm,373 - 513m,rating-,rating-2,546944
['Glacier Walk'],['medium'],['Winter hiking'],4.79km,01:15h,47hm,"2,814 - 2,859m",rating-3,rating-3,131665
['Velotour St-Cergue'],['easy'],['Cycling'],12.16km,02:00h,293hm,"1,041 - 1,334m",rating-,rating-2,203848
['Circuit vélo Vallon du Nozon'],['medium'],['Cycling'],31.95km,04:00h,546hm,"634 - 1,179m",rating-,rating-4,203851
['LEY-HDW- Le Suchet met buggy'],[],['Hiking'],4.99km,01:20h,16hm,"1,233 - 1,388m",rating-,rating-0,1022713
['Velotour Vallée de Joux'],['medium'],['Cycling'],30.24km,04:00h,147hm,"1,007 - 1,097m",rating-,rating-4,203850
['Trélex - 1/2 Barillette'],['medium'],['E-MTB'],17.66km,01:25h,515hm,510 - 905m,rating-3,rating-4,474621
['La Givrine-St-Cergue'],['medium'],['Snowshoe'],8.84km,03:30h,191hm,"1,044 - 1,399m",rating-2,rating-4,60825
['Winter: NM Le Témeley'],[],['Winter hiking'],5.14km,01:44h,274hm,"1,385 - 1,706m",rating-,rating-0,104937
['Zum Dach Europas 1. Tag'],[],['Cycling'],44.95km,03:11h,260hm,373 - 457m,rating-,rating-0,511168
['Winter: NM Les Fers'],[],['Winter hiking'],6.75km,02:26h,305hm,"1,370 - 1,675m",rating-,rating-0,104939
"[""Winter VM Nid d'Aigle""]",[],['Winter hiking'],5.45km,01:30h,61hm,"1,219 - 1,372m",rating-,rating-0,104927
['Winter dorpsverkenning Leysin'],[],['Winter hiking'],4.06km,01:07h,67hm,"1,254 - 1,386m",rating-,rating-0,104933
"[""LEY-DW-2-daagse Maxi's""]",[],['Hiking'],7.37km,02:40h,387hm,"870 - 1,388m",rating-,rating-0,1025047
['Waldameisen-Pfad'],['easy'],['Thematic route'],0.91km,02:00h,14hm,"1,434 - 1,453m",rating-,rating-2,925535
['Winter NM Les Rouvennes'],[],['Winter hiking'],5.73km,01:55h,212hm,"1,038 - 1,389m",rating-,rating-0,104928
['Sainte-Croix – Le Chasseron – Sainte-Croix'],['medium'],['Mountainbike'],14.6km,02:00h,571hm,"1,085 - 1,599m",rating-3,rating-3,1002850
['Winter: VM Feydey'],[],['Winter hiking'],2.74km,00:59h,219hm,"1,288 - 1,452m",rating-,rating-0,104938
['Winter: NM Prafandaz'],[],['Winter hiking'],8.26km,02:39h,325hm,"1,219 - 1,587m",rating-,rating-0,104943
['Winter dorpsverkenning Leysin'],[],['Winter hiking'],4.06km,01:07h,67hm,"1,254 - 1,386m",rating-,rating-0,104933
['Winter: NM Solacyre'],[],['Snowshoe'],8.11km,03:24h,446hm,"1,371 - 1,832m",rating-,rating-0,104941
['01. Radltag: Lausanne - Nyon'],[],['Cycling'],46.91km,03:12h,206hm,373 - 530m,rating-,rating-0,511195
['Zum Dach Europas 1. Tag'],[],['Cycling'],44.95km,03:11h,260hm,373 - 457m,rating-,rating-0,511168
"[""LEY-DW-2-daagse Maxi's""]",[],['Hiking'],7.37km,02:40h,387hm,"870 - 1,388m",rating-,rating-0,1025047
['Winter: VM Crettaz'],['easy'],['Winter hiking'],5.11km,01:26h,161hm,"1,227 - 1,388m",rating-,rating-2,104931
"[""Winter VM Nid d'Aigle""]",[],['Winter hiking'],5.45km,01:30h,61hm,"1,219 - 1,372m",rating-,rating-0,104927
['Tête aux Chamois - Col du Pillon'],['difficult'],['Via ferrata'],3.82km,05:00h,"1,044hm","1,555 - 2,520m",rating-,rating-4,114336
['Winter: NM Prafandaz'],[],['Winter hiking'],8.26km,02:39h,325hm,"1,219 - 1,587m",rating-,rating-0,104943
