ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness,region,trail_id,name,lat,lon,snow_obs_lat,snow_obs_lng,snow_obs_location,snow_obs_alt,snowlevel_in_cm,distance,snow_status
161124,Markgräferland,0 - no rating,Racing,95.04,05:38,680,228,709.0,0,0,aargau,161124,Markgräferland,47.558868,7.785,47.5378697,7.570987799999999,Binningen,316,0,16.3,No Snow
679751,Mumpfer Flue - Trail Running,1 - easy,Trailrunning,2.24,00:29,188,306,492.0,2,4,aargau,679751,Mumpfer Flue - Trail Running,47.544253999999995,7.92245,47.5378697,7.570987799999999,Binningen,316,0,26.5,No Snow
253592,Jurahöhenweg 5. Etappe | Hauenstein - Balsthal,0 - no rating,Hiking,17.24,-,676,491,1055.0,0,0,aargau,253592,Jurahöhenweg 5. Etappe | Hauenstein - Balsthal,47.377918,7.872076,47.5378697,7.570987799999999,Binningen,316,0,28.8,No Snow
887309,Staffelegg-Strihen Seite Asp,1 - easy,Hiking,4.5,00:58,109,665,802.0,1,1,aargau,887309,Staffelegg-Strihen Seite Asp,47.448215000000005,8.040086,47.5378697,7.570987799999999,Binningen,316,0,36.7,No Snow
357325,Zum Stahl der Steinzeit,1 - easy,Hiking,8.39,02:00,196,420,570.0,1,2,basel-region,357325,Zum Stahl der Steinzeit,47.425369,7.758727,47.5378697,7.570987799999999,Binningen,316,0,18.9,No Snow
132998,Chellenchöpfli & Passwang,2 - medium,Hiking,9.85,03:00,485,924,1204.0,2,3,basel-region,132998,Chellenchöpfli & Passwang,47.373665,7.699917999999999,47.5378697,7.570987799999999,Binningen,316,0,20.7,No Snow
812811,Wandererlebnis mit dem Bus - Augst - Saline,0 - no rating,Hiking,3.68,01:00,15,255,271.0,0,0,basel-region,812811,Wandererlebnis mit dem Bus - Augst - Saline,47.534748,7.712880999999999,47.5378697,7.570987799999999,Binningen,316,0,10.7,No Snow
548333,Rundwanderung Farnsberg,1 - easy,Hiking,5.88,01:52,213,581,760.0,0,2,basel-region,548333,Rundwanderung Farnsberg,47.495255,7.855785000000001,47.5378697,7.570987799999999,Binningen,316,0,22.0,No Snow
133037,Römertour: 2000 Jahre Rückblick,3 - difficult,Cycling,62.79,04:30,1046,264,739.0,2,5,basel-region,133037,Römertour: 2000 Jahre Rückblick,47.406734,7.871921,47.5378697,7.570987799999999,Binningen,316,0,27.0,No Snow
132993,Zunzgerhard & Obstplantagen,2 - medium,Hiking,9.97,02:45,320,359,604.0,1,3,basel-region,132993,Zunzgerhard & Obstplantagen,47.467281,7.786777000000001,47.5378697,7.570987799999999,Binningen,316,0,18.1,No Snow
371230,Gempenplateau-Tour,2 - medium,Mountainbike,40.64,03:00,782,257,730.0,3,3,basel-region,371230,Gempenplateau-Tour,47.539646000000005,7.622567999999999,47.5378697,7.570987799999999,Binningen,316,0,3.9,No Snow
548336,Rundwanderung Wildenstein,1 - easy,Hiking,6.52,01:48,113,492,569.0,0,2,basel-region,548336,Rundwanderung Wildenstein,47.424625,7.7575330000000005,47.5378697,7.570987799999999,Binningen,316,0,18.9,No Snow
130967,Olten-Belchen-Langenbruck-Olten,2 - medium,Mountainbike,30.66,04:00,745,391,1055.0,2,3,basel-region,130967,Olten-Belchen-Langenbruck-Olten,47.348164000000004,7.901758,47.5378697,7.570987799999999,Binningen,316,0,32.7,No Snow
357322,Wahlen - Zum Stürmenchopf,2 - medium,Hiking,7.24,02:30,398,403,769.0,2,3,basel-region,357322,Wahlen - Zum Stürmenchopf,47.402042,7.514636,47.5378697,7.570987799999999,Binningen,316,0,15.7,No Snow
377011,Bike Trail Arlesheim,2 - medium,Mountainbike,11.39,01:15,317,277,586.0,3,2,basel-region,377011,Bike Trail Arlesheim,47.489834,7.610861999999999,47.5378697,7.570987799999999,Binningen,316,0,6.1,No Snow
548337,Rundwanderung Chaltbrunnental - Chastelbach,2 - medium,Hiking,7.94,02:23,231,322,544.0,3,3,basel-region,548337,Rundwanderung Chaltbrunnental - Chastelbach,47.441158,7.590742,47.5378697,7.570987799999999,Binningen,316,0,10.9,No Snow
812804,Wandererlebnis mit dem Bus - Lausen - Huppergruben - Liestal,0 - no rating,Hiking,6.08,01:45,149,326,532.0,0,0,basel-region,812804,Wandererlebnis mit dem Bus - Lausen - Huppergruben - Liestal,47.46452,7.758561,47.5378697,7.570987799999999,Binningen,316,0,16.3,No Snow
357320,Ergolztal - Alte und neue Berge,2 - medium,Hiking,16.12,04:30,377,275,572.0,2,4,basel-region,357320,Ergolztal - Alte und neue Berge,47.491425,7.730161,47.5378697,7.570987799999999,Binningen,316,0,13.1,No Snow
130681,ViaSurprise-Zubringer: Liestal - Reigoldswil,2 - medium,Hiking,16.51,04:30,580,319,690.0,1,4,basel-region,130681,ViaSurprise-Zubringer: Liestal - Reigoldswil,47.484497,7.731689,47.5378697,7.570987799999999,Binningen,316,0,13.5,No Snow
357291,Landwirtschaft (Ausflug in die Vergangenheit),1 - easy,Cycling,27.73,02:00,67,254,336.0,0,2,basel-region,357291,Landwirtschaft (Ausflug in die Vergangenheit),47.484615000000005,7.730772999999999,47.5378697,7.570987799999999,Binningen,316,0,13.4,No Snow
320784,Rundwanderung Chatzenstieg-Huerewägli,2 - medium,Hiking,5.18,01:47,254,924,1145.0,0,3,basel-region,320784,Rundwanderung Chatzenstieg-Huerewägli,47.373589,7.70015,47.5378697,7.570987799999999,Binningen,316,0,20.7,No Snow
670385,Erlebnisweg passepartout,0 - no rating,Thematic route,10.02,02:48,160,449,632.0,0,0,basel-region,670385,Erlebnisweg passepartout,47.449169,7.939217999999999,47.5378697,7.570987799999999,Binningen,316,0,29.4,No Snow
613198,BLKB-Wanderung Sommerau - Giessen-Wisenberg - Ruine Homburg,0 - no rating,Hiking,12.17,03:59,569,431,1000.0,0,0,basel-region,613198,BLKB-Wanderung Sommerau - Giessen-Wisenberg - Ruine Homburg,47.436516,7.850447999999999,47.5378697,7.570987799999999,Binningen,316,0,23.9,No Snow
357328,Waldenburg,1 - easy,Hiking,3.76,02:00,285,525,810.0,2,2,basel-region,357328,Waldenburg,47.380608,7.7515089999999995,47.5378697,7.570987799999999,Binningen,316,0,22.2,No Snow
246771,Rundtour von Aesch via Ruine Pfeffingen und Duggingen,2 - medium,Hiking,8.71,02:45,306,295,496.0,2,3,basel-region,246771,Rundtour von Aesch via Ruine Pfeffingen und Duggingen,47.467696999999994,7.602552,47.5378697,7.570987799999999,Binningen,316,0,8.2,No Snow
610990,BLKB-Wanderung Reinach - Leywald - Reinach,0 - no rating,Hiking,4.49,01:10,58,307,364.0,0,0,basel-region,610990,BLKB-Wanderung Reinach - Leywald - Reinach,47.485867,7.591471,47.5378697,7.570987799999999,Binningen,316,0,6.0,No Snow
132995,Ruinen Wartenberg & Rebenweg,2 - medium,Hiking,7.37,02:00,255,286,479.0,1,3,basel-region,132995,Ruinen Wartenberg & Rebenweg,47.526367,7.647277000000001,47.5378697,7.570987799999999,Binningen,316,0,5.9,No Snow
114226,Blütenpracht im Baselbiet,2 - medium,Hiking,12.19,03:35,447,369,756.0,2,3,basel-region,114226,Blütenpracht im Baselbiet,47.523754,7.846814,47.5378697,7.570987799999999,Binningen,316,0,20.8,No Snow
1040682,Von Basel zum Mont Blanc Etappe 4: Laufen – Beinwil,3 - difficult,Hiking,19.76,06:00,569,331,877.0,1,5,basel-region,1040682,Von Basel zum Mont Blanc Etappe 4: Laufen – Beinwil,47.422802000000004,7.500509,47.5378697,7.570987799999999,Binningen,316,0,13.9,No Snow
371235,Ergolz-Tour,2 - medium,Mountainbike,36.36,03:15,953,306,743.0,3,3,basel-region,371235,Ergolz-Tour,47.484337,7.732074000000001,47.5378697,7.570987799999999,Binningen,316,0,13.5,No Snow
357321,"""Reigoldswil - Geheimnisse rund ums Horn""",2 - medium,Hiking,11.5,02:30,332,466,735.0,1,3,basel-region,357321,Reigoldswil - Geheimnisse rund um's Horn,47.38924,7.697794,47.5378697,7.570987799999999,Binningen,316,0,19.1,No Snow
133001,Syydebändel & Rebenweg,2 - medium,Hiking,13.21,03:30,390,370,574.0,1,3,basel-region,133001,Syydebändel & Rebenweg,47.52383,7.846922999999999,47.5378697,7.570987799999999,Binningen,316,0,20.8,No Snow
548334,Liestaler Aussichtsturm - Sissacherfluh,2 - medium,Hiking,10.3,03:22,556,308,702.0,1,3,basel-region,548334,Liestaler Aussichtsturm - Sissacherfluh,47.484295,7.732122,47.5378697,7.570987799999999,Binningen,316,0,13.5,No Snow
156872,Basler Weg: Aesch - Beinwil Kloster,3 - difficult,Pilgrimage,20.14,06:16,761,302,877.0,0,5,basel-region,156872,Basler Weg: Aesch - Beinwil Kloster,47.467506,7.601017,47.5378697,7.570987799999999,Binningen,316,0,8.1,No Snow
812810,Wandererlebnis mit dem Bus - Reigoldswil - Bubendorf,0 - no rating,Hiking,11.8,03:20,248,372,691.0,0,0,basel-region,812810,Wandererlebnis mit dem Bus - Reigoldswil - Bubendorf,47.397434000000004,7.691981,47.5378697,7.570987799999999,Binningen,316,0,18.1,No Snow
357294,Kunst und Unterhaltung (Ausflug in die Vergangenheit),1 - easy,Hiking,2.6,00:40,29,266,296.0,0,1,basel-region,357294,Kunst und Unterhaltung (Ausflug in die Vergangenheit),47.533871000000005,7.721352,47.5378697,7.570987799999999,Binningen,316,0,11.3,No Snow
133029,Huppergruben,1 - easy,Hiking,6.54,02:00,267,334,546.0,2,2,basel-region,133029,Huppergruben,47.475937,7.744675,47.5378697,7.570987799999999,Binningen,316,0,14.8,No Snow
133023,Reinach - Leywald - Aesch,1 - easy,Hiking,4.5,01:15,72,307,364.0,1,2,basel-region,133023,Reinach - Leywald - Aesch,47.485935,7.591651,47.5378697,7.570987799999999,Binningen,316,0,6.0,No Snow
812809,Wandererlebnis mit dem Bus - Reigoldswil - Büren,0 - no rating,Hiking,11.44,03:25,367,439,692.0,0,0,basel-region,812809,Wandererlebnis mit dem Bus - Reigoldswil - Büren,47.397419,7.6919770000000005,47.5378697,7.570987799999999,Binningen,316,0,18.1,No Snow
377001,Tafeljura-Tour,0 - no rating,Cycling,33.4,02:56,716,398,739.0,0,0,basel-region,377001,Tafeljura-Tour,47.405811,7.8709929999999995,47.5378697,7.570987799999999,Binningen,316,0,27.0,No Snow
543657,Interregio-Wanderweg Etappe 6: Liestal – Aesch,1 - easy,Hiking,16.66,05:00,675,294,709.0,2,2,basel-region,543657,Interregio-Wanderweg Etappe 6: Liestal – Aesch,47.484283000000005,7.732071,47.5378697,7.570987799999999,Binningen,316,0,13.5,No Snow
613197,BLKB-Wanderung Viadukt Rümlingen - Ruine Homburg,0 - no rating,Hiking,6.68,02:05,246,472,655.0,0,0,basel-region,613197,BLKB-Wanderung Viadukt Rümlingen - Ruine Homburg,47.425438,7.850749,47.5378697,7.570987799999999,Binningen,316,0,24.5,No Snow
71375,Route Wasserfallen – Wasserfallen,2 - medium,Hiking,6.6,02:17,325,928,1186.0,3,3,basel-region,71375,Route Wasserfallen – Wasserfallen,47.373608000000004,7.700193,47.5378697,7.570987799999999,Binningen,316,0,20.7,No Snow
350190,Rundwanderung Wasserfallen 470,2 - medium,Hiking,9.86,03:15,426,924,1201.0,0,3,basel-region,350190,Rundwanderung Wasserfallen 470,47.373634,7.700252000000001,47.5378697,7.570987799999999,Binningen,316,0,20.7,No Snow
130959,Herrliche Velotour durch die Baselbieter Reben,3 - difficult,Cycling,67.5,04:15,956,273,642.0,3,5,basel-region,130959,Herrliche Velotour durch die Baselbieter Reben,47.520229,7.712147,47.5378697,7.570987799999999,Binningen,316,0,10.8,No Snow
749250,Rebenweg Ziefen,1 - easy,Hiking,2.97,00:50,97,421,517.0,0,2,basel-region,749250,Rebenweg Ziefen,47.431274,7.7063440000000005,47.5378697,7.570987799999999,Binningen,316,0,15.6,No Snow
371236,Schauenburger-Tour,2 - medium,Mountainbike,22.31,02:30,505,305,713.0,3,3,basel-region,371236,Schauenburger-Tour,47.501839000000004,7.719425,47.5378697,7.570987799999999,Binningen,316,0,11.9,No Snow
610987,BLKB-Rundwanderung Aesch - Ruine Pfeffingen - Blattenpass - Klus - Aesch,0 - no rating,Hiking,13.05,03:52,418,312,606.0,0,0,basel-region,610987,BLKB-Rundwanderung Aesch - Ruine Pfeffingen - Blattenpass - Klus - Aesch,47.469048,7.597038,47.5378697,7.570987799999999,Binningen,316,0,7.9,No Snow
670386,Erlebnispfad wisenbergwärts,0 - no rating,Thematic route,11.74,03:50,556,446,1000.0,0,0,basel-region,670386,Erlebnispfad wisenbergwärts,47.438915,7.851404,47.5378697,7.570987799999999,Binningen,316,0,23.8,No Snow
357309,Läufelfingen- Neu-Homburg,1 - easy,Hiking,6.59,02:00,292,542,800.0,1,2,basel-region,357309,"Läufelfingen, Neu-Homburg",47.392353,7.856350999999999,47.5378697,7.570987799999999,Binningen,316,0,26.9,No Snow
357316,Diegtertal - Witwald,3 - difficult,Hiking,5.45,03:00,312,492,787.0,5,3,basel-region,357316,Diegtertal - Witwald,47.404793,7.809487,47.5378697,7.570987799999999,Binningen,316,0,23.3,No Snow
133038,Königstour: Vom Jura ins Mittelland und zurück,2 - medium,Cycling,41.22,03:30,1055,391,991.0,2,4,basel-region,133038,Königstour: Vom Jura ins Mittelland und zurück,47.405792,7.870966,47.5378697,7.570987799999999,Binningen,316,0,27.0,No Snow
201330,Froburg,3 - difficult,Hiking,7.2,02:18,301,569,833.0,4,5,basel-region,201330,Froburg,47.379065999999995,7.871974000000001,47.5378697,7.570987799999999,Binningen,316,0,28.8,No Snow
153939,Von der Ermitage zum Gempenturm,1 - easy,Hiking,11.58,03:35,432,293,759.0,1,2,basel-region,153939,Von der Ermitage zum Gempenturm,47.49474,7.619062,47.5378697,7.570987799999999,Binningen,316,0,6.0,No Snow
371242,Gempen-Nordtrail-Tour,2 - medium,Mountainbike,30.23,03:13,554,271,759.0,2,3,basel-region,371242,Gempen-Nordtrail-Tour,47.513725,7.618182000000001,47.5378697,7.570987799999999,Binningen,316,0,4.5,No Snow
126148,Von Pratteln zur Ermitage Arlesheim,2 - medium,Hiking,12.18,03:30,400,289,663.0,3,2,basel-region,126148,Von Pratteln zur Ermitage Arlesheim,47.522529999999996,7.6911119999999995,47.5378697,7.570987799999999,Binningen,316,0,9.2,No Snow
357319,Ermitage,1 - easy,Hiking,5.08,01:30,252,335,556.0,1,2,basel-region,357319,Ermitage,47.492214000000004,7.6207460000000005,47.5378697,7.570987799999999,Binningen,316,0,6.3,No Snow
320783,Wasserfallen Rundwanderweg 470,3 - difficult,Hiking,9.96,03:00,432,924,1201.0,5,4,basel-region,320783,Wasserfallen Rundwanderweg 470,47.373569,7.700172,47.5378697,7.570987799999999,Binningen,316,0,20.7,No Snow
132992,Giessenfall & Wisenbergturm,2 - medium,Hiking,12.01,03:30,580,438,1001.0,2,4,basel-region,132992,Giessenfall & Wisenbergturm,47.439071999999996,7.851217999999999,47.5378697,7.570987799999999,Binningen,316,0,23.8,No Snow
133041,Ermitage & Gempenturm,2 - medium,Hiking,14.9,04:15,540,310,760.0,2,4,basel-region,133041,Ermitage & Gempenturm,47.494602,7.618714999999999,47.5378697,7.570987799999999,Binningen,316,0,6.0,No Snow
548332,469 Wildenstein - Ryfenstein,3 - difficult,Hiking,16.9,04:50,439,318,691.0,0,5,basel-region,548332,469 Wildenstein - Ryfenstein,47.484844,7.729528,47.5378697,7.570987799999999,Binningen,316,0,13.3,No Snow
610986,BLKB-Wanderung Langenbruck - Hintere Egg- Wasserfallen,0 - no rating,Hiking,9.09,03:07,557,722,1159.0,0,0,basel-region,610986,BLKB-Wanderung Langenbruck - Hintere Egg- Wasserfallen,47.351593,7.764064,47.5378697,7.570987799999999,Binningen,316,0,25.3,No Snow
357329,Sissach - Schauplatz der Geschichte,1 - easy,Hiking,6.91,03:30,364,368,700.0,1,2,basel-region,357329,Sissach - Schauplatz der Geschichte,47.465565000000005,7.809216999999999,47.5378697,7.570987799999999,Binningen,316,0,19.7,No Snow
348147,Rundwanderung für kurze Beine,0 - no rating,Hiking,3.51,01:05,144,924,1068.0,0,0,basel-region,348147,Rundwanderung für kurze Beine,47.373589,7.70015,47.5378697,7.570987799999999,Binningen,316,0,20.7,No Snow
377010,Endless Trail,3 - difficult,Mountainbike,14.03,01:20,488,367,743.0,5,3,basel-region,377010,Endless Trail,47.462902,7.8122169999999995,47.5378697,7.570987799999999,Binningen,316,0,20.0,No Snow
133003,Bluescht & Schwarzbuebe,2 - medium,Hiking,8.14,03:15,390,322,600.0,1,3,basel-region,133003,Bluescht & Schwarzbuebe,47.485058,7.73073,47.5378697,7.570987799999999,Binningen,316,0,13.4,No Snow
377000,Leimental-Tour,0 - no rating,Cycling,39.7,03:06,424,265,545.0,0,0,basel-region,377000,Leimental-Tour,47.547996999999995,7.5898710000000005,47.5378697,7.570987799999999,Binningen,316,0,1.8,No Snow
133033,Rundwanderung Wasserfallen - Hinderi Egg,1 - easy,Hiking,4.25,01:30,254,924,1168.0,2,2,basel-region,133033,Rundwanderung Wasserfallen - Hinderi Egg,47.373562,7.700163000000001,47.5378697,7.570987799999999,Binningen,316,0,20.7,No Snow
371239,Liestaler-Tour,2 - medium,Mountainbike,29.19,02:30,687,278,614.0,3,4,basel-region,371239,Liestaler-Tour,47.501289,7.719359,47.5378697,7.570987799999999,Binningen,316,0,11.9,No Snow
321333,Reben-Tour,0 - no rating,Cycling,40.67,03:53,813,306,593.0,0,0,basel-region,321333,Reben-Tour,47.48502,7.731180999999999,47.5378697,7.570987799999999,Binningen,316,0,13.4,No Snow
133040,Höhenrausch: nur Fliegen ist schöner,2 - medium,Cycling,33.3,03:00,980,440,1055.0,2,3,basel-region,133040,Höhenrausch: nur Fliegen ist schöner,47.405811,7.870939999999999,47.5378697,7.570987799999999,Binningen,316,0,27.0,No Snow
1022698,Läufelfingen - Bad Ramsach - Hauenstein -Olten,2 - medium,Hiking,14.94,04:45,550,390,1001.0,0,4,basel-region,1022698,Läufelfingen - Bad Ramsach - Hauenstein -Olten,47.392139,7.856485,47.5378697,7.570987799999999,Binningen,316,0,26.9,No Snow
610999,BLKB-Wanderung Galms- Huppergruben,0 - no rating,Hiking,6.6,09:23,220,329,547.0,0,0,basel-region,610999,BLKB-Wanderung Galms- Huppergruben,47.476677,7.744781,47.5378697,7.570987799999999,Binningen,316,0,14.8,No Snow
812802,Wandererlebnis mit dem Bus - Reigoldswil - Bubendorf,0 - no rating,Hiking,11.8,03:20,248,372,691.0,0,0,basel-region,812802,Wandererlebnis mit dem Bus - Reigoldswil - Bubendorf,47.397434000000004,7.691981,47.5378697,7.570987799999999,Binningen,316,0,18.1,No Snow
132999,Tafeljura & schmuckes Oltingen,1 - easy,Hiking,9.77,02:30,210,445,630.0,1,2,basel-region,132999,Tafeljura & schmuckes Oltingen,47.449104,7.939045,47.5378697,7.570987799999999,Binningen,316,0,29.4,No Snow
529726,Beizenrunde,1 - easy,Mountainbike,16.9,02:15,721,536,1145.0,2,0,basel-region,529726,Beizenrunde,47.390888000000004,7.695850999999999,47.5378697,7.570987799999999,Binningen,316,0,18.9,No Snow
276190,Über den Blauen,2 - medium,Hiking,16.5,04:45,460,337,837.0,2,4,basel-region,276190,Über den Blauen,47.459221,7.589222,47.5378697,7.570987799999999,Binningen,316,0,8.9,No Snow
543179,Baselbieter Chirsiweg,2 - medium,Hiking,10.68,03:02,337,446,632.0,0,3,basel-region,543179,Baselbieter Chirsiweg,47.43911,7.851161,47.5378697,7.570987799999999,Binningen,316,0,23.8,No Snow
133046,Laufental: Berge- Täler und der Dom von Arlesheim,3 - difficult,Cycling,68.02,05:00,1015,292,700.0,2,5,basel-region,133046,"Laufental: Berge, Täler und der Dom von Arlesheim",47.484772,7.730795,47.5378697,7.570987799999999,Binningen,316,0,13.4,No Snow
357288,Zur Bautechnik (Ausflug in die Vergangenheit),1 - easy,Hiking,6.19,01:40,44,261,300.0,0,1,basel-region,357288,Zur Bautechnik (Ausflug in die Vergangenheit),47.533497,7.722767999999999,47.5378697,7.570987799999999,Binningen,316,0,11.4,No Snow
130963,Gigatrail Mountainbike-Route,2 - medium,Mountainbike,33.96,04:30,1127,391,1055.0,3,4,basel-region,130963,Gigatrail Mountainbike-Route,47.348209000000004,7.902286999999999,47.5378697,7.570987799999999,Binningen,316,0,32.7,No Snow
362626,Plateau-Tour,0 - no rating,Cycling,41.19,03:18,745,315,719.0,0,0,basel-region,362626,Plateau-Tour,47.484653,7.730608,47.5378697,7.570987799999999,Binningen,316,0,13.4,No Snow
812813,Wandererlebnis mit dem Bus - Herbsberg -Liestal,0 - no rating,Hiking,6.66,02:00,162,312,607.0,0,0,basel-region,812813,Wandererlebnis mit dem Bus - Herbsberg -Liestal,47.489845,7.78257,47.5378697,7.570987799999999,Binningen,316,0,16.8,No Snow
133035,Langenbruck - Hinderi Egg - Wasserfallen,2 - medium,Hiking,9.8,03:00,568,722,1168.0,2,3,basel-region,133035,Langenbruck - Hinderi Egg - Wasserfallen,47.351948,7.764247,47.5378697,7.570987799999999,Binningen,316,0,25.3,No Snow
163627,Mytische Orte am Oberrhein - Eptingen – Otlingen,3 - difficult,Cycling,70.94,06:00,994,290,991.0,0,6,basel-region,163627,Mytische Orte am Oberrhein - Eptingen – Otlingen,47.522141,7.692022,47.5378697,7.570987799999999,Binningen,316,0,9.3,No Snow
130625,ViaSurprise-Zubringer: Langenbruck - Wasserfallen,2 - medium,Hiking,8.08,03:30,628,701,1154.0,1,3,basel-region,130625,ViaSurprise-Zubringer: Langenbruck - Wasserfallen,47.348557,7.768560000000001,47.5378697,7.570987799999999,Binningen,316,0,25.8,No Snow
27804,The Three Country Cycling Trail,2 - medium,Cycling,197.93,12:00,2153,205,614.0,3,3,basel-region,27804,Dreilandradweg,47.467690000000005,7.6027070000000005,47.5378697,7.570987799999999,Binningen,316,0,8.2,No Snow
130657,ViaSurprise-Rundroute: Zwingen - Mariastein,2 - medium,Hiking,10.42,03:15,540,340,788.0,1,3,basel-region,130657,ViaSurprise-Rundroute: Zwingen - Mariastein,47.433937,7.531042,47.5378697,7.570987799999999,Binningen,316,0,11.9,No Snow
357313,Neanderthaler im Eital?,1 - easy,Hiking,4.3,02:00,121,445,566.0,2,2,basel-region,357313,Neanderthaler im Eital?,47.44532,7.888192,47.5378697,7.570987799999999,Binningen,316,0,26.0,No Snow
418411,Arlesheim nach Nuglar- Schweiz,0 - no rating,Hiking,10.37,03:14,503,332,761.0,0,0,basel-region,418411,"Arlesheim nach Nuglar, Schweiz",47.494015000000005,7.619888,47.5378697,7.570987799999999,Binningen,316,0,6.1,No Snow
357287,Gesellschaft (Ausflug in die Vergangenheit),1 - easy,Hiking,2.22,01:00,17,284,301.0,0,1,basel-region,357287,Gesellschaft (Ausflug in die Vergangenheit),47.533371,7.721897,47.5378697,7.570987799999999,Binningen,316,0,11.4,No Snow
65898,Route Bubendorf – Reigoldswil,0 - no rating,Hiking,10.54,03:17,392,379,695.0,0,0,basel-region,65898,Route Bubendorf – Reigoldswil,47.445568,7.735060000000001,47.5378697,7.570987799999999,Binningen,316,0,16.1,No Snow
69487,Wasserfallen-Kamm-Route,2 - medium,Hiking,8.98,04:00,277,558,1201.0,0,4,basel-region,69487,Wasserfallen-Kamm-Route,47.373703000000006,7.700317,47.5378697,7.570987799999999,Binningen,316,0,20.7,No Snow
626840,Basel-Laufen,1 - easy,Mountainbike,23.22,01:43,474,284,584.0,3,4,basel-region,626840,Basel-Laufen,47.543751,7.581639999999999,47.5378697,7.570987799999999,Binningen,316,0,1.0,No Snow
371234,Diegtertal-Tour,1 - easy,Mountainbike,33.35,02:45,864,371,758.0,2,2,basel-region,371234,Diegtertal-Tour,47.447441,7.788416000000001,47.5378697,7.570987799999999,Binningen,316,0,19.2,No Snow
744807,Fr Tour 2.0,2 - medium,Mountainbike,28.66,02:52,428,277,530.0,4,4,basel-region,744807,Fr Tour 2.0,47.55122,7.5403,47.5378697,7.570987799999999,Binningen,316,0,2.7,No Snow
159633,Höhenwanderung im Solothurner Jura,2 - medium,Hiking,16.83,05:30,650,565,1204.0,2,4,basel-region,159633,Höhenwanderung im Solothurner Jura,47.373657,7.700253,47.5378697,7.570987799999999,Binningen,316,0,20.7,No Snow
371237,Fünflibertal-Tour,2 - medium,Mountainbike,38.54,04:14,802,316,730.0,1,3,basel-region,371237,Fünflibertal-Tour,47.485023,7.730886999999999,47.5378697,7.570987799999999,Binningen,316,0,13.4,No Snow
357292,Wasser (Ausflug in die Vergangenheit),1 - easy,Hiking,10.11,02:40,94,261,355.0,0,2,basel-region,357292,Wasser (Ausflug in die Vergangenheit),47.536533,7.7108360000000005,47.5378697,7.570987799999999,Binningen,316,0,10.5,No Snow
587653,Wanderung in der Blütezeit,1 - easy,Hiking,7.81,01:59,132,291,363.0,2,3,basel-region,587653,Wanderung in der Blütezeit,47.505066,7.728327,47.5378697,7.570987799999999,Binningen,316,0,12.4,No Snow
